date,time,lat,lng,alert
20-07-2021,11:29:47,21.10741,79.01791,PCW
20-07-2021,11:29:51,21.10643,79.01778,FCW
20-07-2021,11:29:53,21.10643,79.01778,PCW
20-07-2021,11:32:28,21.10253,79.01167,PCW
20-07-2021,12:21:07,21.10195,79.01446,PCW
20-07-2021,12:22:45,21.10454,79.01727,PCW
20-07-2021,12:28:03,21.1157,79.03132,FCW
20-07-2021,12:28:05,21.1157,79.03132,FCW
20-07-2021,12:29:22,21.11739,79.03528,LDW
20-07-2021,12:31:50,21.11461,79.04178,HMW
20-07-2021,12:31:54,21.11461,79.04178,FCW
20-07-2021,12:32:22,21.11339,79.04531,PCW
20-07-2021,12:39:27,21.12538,79.06037,HMW
20-07-2021,12:40:27,21.12807,79.06335,HMW
20-07-2021,12:44:39,21.13662,79.06401,HMW
20-07-2021,12:45:21,21.13774,79.06579,PCW
20-07-2021,12:45:42,21.13967,79.06556,FCW
20-07-2021,12:46:11,21.13967,79.06556,HMW
20-07-2021,12:47:39,21.14299,79.06766,FCW
20-07-2021,12:50:50,21.1456,79.07279,HMW
